Name,Location,Country,Diameter,Age,Coordinates,LAT,LON,LAT,JJKJKJ,LL,SD,LON
,,,,,,,,,,,,
Wabar,Rub' al Khali desert,Saudi Arabia,0.1,0.2,21°30?N 50°28?E,21°30?N,50°28?E,21.5,50,28,E,50.46666667
Kaali,Saaremaa,Estonia,0.1,3.5,58°24?N 22°40?E,58°24?N,22°40?E,58.4,22,40,E,22.66666667
Campo del Cielo,Chaco,Argentina,0.1[7],4.5,27°38?S 61°42?W,27°38?S,61°42?W,-27.63333333,61,42,W,-61.7
Henbury,Northern Territory,Australia,0.2,4.7,24°34?S 133°8?E,24°34?S,133°8?E,-24.56666667,133,8,E,133.1333333
Morasko,Pozna?,Poland,0.1,5.0[9],52°29?N 16°54?E,52°29?N,16°54?E,52.48333333,16,54,E,16.9
Boxhole,Northern Territory,Australia,0.2,5.4,22°37?S 135°12?E,22°37?S,135°12?E,-22.61666667,135,12,E,135.2
Macha,Sakha Republic,Russia,0.3,7.3,60°6?N 117°35?E,60°6?N,117°35?E,60.1,117,35,E,117.5833333
Rio Cuarto (disputed),Córdoba Province,Argentina,4.5,< 10 ?[2][4],32°53?S 64°13?W,32°53?S,64°13?W,-32.88333333,64,13,W,-64.21666667
Ilumetsa,Põlva County,Estonia,0.08,6.6,57°57?N 27°24?E,57°57?N,27°24?E,57.95,27,24,E,27.4
Whitecourt,Alberta,Canada,0.04,1.1,54°00?N 115°36?W,54°00?N,115°36?W,54,115,36,W,-115.6
Agoudal[14],Atlas Mountains,Morocco,3,105,31°59?N 5°30?W,31°59?N,5°30?W,31.98333333,5,30,W,-5.5
Bosumtwi,Ashanti,Ghana,10,1.1,6°30?N 1°25?W,6°30?N,1°25?W,6.5,1,25,W,-1.416666667
Elgygytgyn,Chukotka Autonomous Okrug,Russia,18,3.5,67°30?N 172°00?E,67°30?N,172°00?E,67.5,172,00,E,172
Bigach,Kazakhstan,Kazakhstan,8,5,48°34?N 82°1?E,48°34?N,82°1?E,48.56666667,82,1,E,82.01666667
Karla,Tatarstan,Russia,10,5,54°55?N 48°2?E,54°55?N,48°2?E,54.91666667,48,2,E,48.03333333
Karakul,Pamir Mountains,Tajikistan,52,< 5 ?[16][17],39°1?N 73°27?E,39°1?N,73°27?E,39.01666667,73,27,E,73.45
Vredefort,Free State,South Africa,160,2023,27°0?S 27°30?E,27°0?S,27°30?E,-27,27,30,E,27.5
Chicxulub,Yucatán,Mexico,150,66.051 ± 0.031,21°20?N 89°30?W,21°20?N,89°30?W,21.33333333,89,30,W,-89.5
Sudbury,Ontario,Canada,130,1849,46°36?N 81°11?W,46°36?N,81°11?W,46.6,81,11,W,-81.18333333
Popigai,Siberia,Russia,100,35.7±0.2,71°39?N 111°11?E,71°39?N,111°11?E,71.65,111,11,E,111.1833333
Manicouagan,Quebec,Canada,100,215.56 ± 0.05,51°23?N 68°42?W,51°23?N,68°42?W,51.38333333,68,42,W,-68.7
Acraman,South Australia,Australia,90,580,32°1?S 135°27?E,32°1?S,135°27?E,-32.01666667,135,27,E,135.45
Morokweng,Kalahari Desert,South Africa,70,146.06 ± 0.16,26°28?S 23°32?E,26°28?S,23°32?E,-26.46666667,23,32,E,23.53333333
Kara,Nenetsia,Russia,65,70.3,69°6?N 64°9?E,69°6?N,64°9?E,69.1,64,9,E,64.15
Beaverhead,Idaho and Montana,United States,60,600,44°15?N 114°0?W,44°15?N,114°0?W,44.25,114,0,W,-114
Tookoonooka,Queensland,Australia,55,112–133,27°7?S 142°50?E,27°7?S,142°50?E,-27.11666667,142,50,E,142.8333333
Charlevoix,Quebec,Canada,54,342,47°32?N 70°18?W,47°32?N,70°18?W,47.53333333,70,18,W,-70.3
Siljan Ring,Dalarna,Sweden,52,377,61°2?N 14°52?E,61°2?N,14°52?E,61.03333333,14,52,E,14.86666667
Karakul,Pamir Mountains,Tajikistan,52,5? 25?,39°1?N 73°27?E,39°1?N,73°27?E,39.01666667,73,27,E,73.45
Montagnais,Nova Scotia,Canada,45,50.5,42°53?N 64°13?W,42°53?N,64°13?W,42.88333333,64,13,W,-64.21666667
Araguainha,Central Brazil,Brazil,40,244.4,16°47?S 52°59?W,16°47?S,52°59?W,-16.78333333,52,59,W,-52.98333333
Chesapeake Bay,Virginia,United States,40,34.86?±?0.23,37°17?N 76°1?W,37°17?N,76°1?W,37.28333333,76,1,W,-76.01666667
Mjølnir,Barents Sea,Norway,40,142,73°48?N 29°40?E,73°48?N,29°40?E,73.8,29,40,E,29.66666667
Puchezh-Katunki,Nizhny Novgorod Oblast,Russia,40,195.9?±?1.0,56°58?N 43°43?E,56°58?N,43°43?E,56.96666667,43,43,E,43.71666667
Saint Martin,Manitoba,Canada,40,227.8 ± 1.1,51°47?N 98°32?W,51°47?N,98°32?W,51.78333333,98,32,W,-98.53333333
Woodleigh,Western Australia,Australia,40,364,26°3?S 114°40?E,26°3?S,114°40?E,-26.05,114,40,E,114.6666667
Carswell,Saskatchewan,Canada,39,115,58°27?N 109°30?W,58°27?N,109°30?W,58.45,109,30,W,-109.5
Clearwater West,Quebec,Canada,36,290,56°13?N 74°30?W,56°13?N,74°30?W,56.21666667,74,30,W,-74.5
Manson,Iowa,United States,35,74,42°35?N 94°33?W,42°35?N,94°33?W,42.58333333,94,33,W,-94.55
Slate Islands,Ontario,Canada,30,450,48°40?N 87°0?W,48°40?N,87°0?W,48.66666667,87,0,W,-87
Yarrabubba,Western Australia,Australia,30,2229,27°10?S 118°50?E,27°10?S,118°50?E,-27.16666667,118,50,E,118.8333333
Keurusselkä,Western Finland,Finland,30,1400–1500,62°8?N 24°36?E,62°8?N,24°36?E,62.13333333,24,36,E,24.6
Shoemaker,Western Australia,Australia,30,1630?,25°52?S 120°53?E,25°52?S,120°53?E,-25.86666667,120,53,E,120.8833333
Mistastin,Newfoundland and Labrador,Canada,28,36.4,55°53?N 63°18?W,55°53?N,63°18?W,55.88333333,63,18,W,-63.3
Clearwater East,Quebec,Canada,26,290,56°4?N 74°6?W,56°4?N,74°6?W,56.06666667,74,6,W,-74.1
Kamensk,Southern Federal District,Russia,25,49,48°21?N 40°30?E,48°21?N,40°30?E,48.35,40,30,E,40.5
Steen River,Alberta,Canada,25,91,59°30?N 117°38?W,59°30?N,117°38?W,59.5,117,38,W,-117.6333333
Strangways,Northern Territory,Australia,25,646,15°12?S 133°35?E,15°12?S,133°35?E,-15.2,133,35,E,133.5833333
Tunnunik,Northwest Territories,Canada,25,130–450,72°28?N 113°58?W,72°28?N,113°58?W,72.46666667,113,58,W,-113.9666667
Boltysh,Kirovohrad Oblast,Ukraine,24,65.17,48°54?N 32°15?E,48°54?N,32°15?E,48.9,32,15,E,32.25
Nördlinger Ries,"Bavaria, Baden-Württemberg",Germany,24,14.808?±?0.038,48°53?N 10°34?E,48°53?N,10°34?E,48.88333333,10,34,E,10.56666667
Presqu'île,Quebec,Canada,24,less than 500,49°43?N 74°48?W,49°43?N,74°48?W,49.71666667,74,48,W,-74.8
Haughton,Nunavut,Canada,23,39,75°23?N 89°40?W,75°23?N,89°40?W,75.38333333,89,40,W,-89.66666667
Lappajärvi,Western Finland,Finland,23,77.85?±?0.78,63°12?N 23°42?E,63°12?N,23°42?E,63.2,23,42,E,23.7
Rochechouart,France,France,23,206.92 ± 0.32[19],45°49?N 0°47?E,45°49?N,0°47?E,45.81666667,0,47,E,0.783333333
Gosses Bluff,Northern Territory,Australia,22,142.5,23°49?S 132°18?E,23°49?S,132°18?E,-23.81666667,132,18,E,132.3
Amelia Creek,Northern Territory,Australia,20,600–1660,20°55?S 134°50?E,20°55?S,134°50?E,-20.91666667,134,50,E,134.8333333
Logancha,Siberia,Russia,20,40,65°31?N 95°56?E,65°31?N,95°56?E,65.51666667,95,56,E,95.93333333
Obolon',Poltava Oblast,Ukraine,20,169,49°35?N 32°55?E,49°35?N,32°55?E,49.58333333,32,55,E,32.91666667
Dhala[20],Madhya Pradesh,India,11[20],1700-2100,25°18?N 78°8?E,25°18?N,78°8?E,25.3,78,8,E,78.13333333
Nadir Crater,Guinea Plateau,Guinea,8.5,66.051 ± 0.031,9°23?N 17°4?W,9°23?N,17°4?W,9.383333333,17,4,W,-17.06666667
Wolfe Creek,Western Australia,Australia,0.9,< 120,19°10?18?S 127°47?44?E,19°10?18?S,127°47?44?E,-19.16666667,127,47,E,127.7833333
Monturaqui,Atacama Desert,Chile,0.455,640 ± 140,23°55?40?S 68°15?41?W,23°55?40?S,68°15?41?W,-23.91666667,68,15,W,-68.25
Tenoumer,Sahara Desert,Mauritania,1.9,21,22°55?2?N 10°24?28?W,22°55?2?N,10°24?28?W,22.91666667,10,24,W,-10.4
Yilan,Heilongjiang,China,1.85,49,46°23?4?N 129°19?39?E,46°23?4?N,129°19?39?E,46.38333333,129,19,E,129.3166667
Meteor Crater,Arizona,United States,1.2,49,35°1?39?N 111°1?22?W,35°1?39?N,111°1?22?W,35.01666667,111,1,W,-111.0166667
Xiuyan,Xiuyan,China,1.8,50,40°21?42?N 123°27?47?E,40°21?42?N,123°27?47?E,40.35,123,27,E,123.45
Lonar,Maharashtra,India,1.8,52,19°58?37?N 76°30?32?E,19°58?37?N,76°30?32?E,19.96666667,76,30,E,76.5
Tswaing,Pretoria Saltpan,South Africa,1.1,220,25°24?32?S 28°4?58?E,25°24?32?S,28°4?58?E,-25.4,28,4,E,28.06666667
Zhamanshin,Kazakhstan,Kazakhstan,14,900 ± 100,48°24?0?N 60°58?0?E,48°24?0?N,60°58?0?E,48.4,60,58,E,60.96666667
